# BiLBO Data Export. 
#  running time, centroid_hist_x, centroid_hist_y, peak_hist_x, peak_hist_y
1.469791708815999985e+09,6.547623271157760882e+02,3.646931967322573200e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791709376000166e+09,6.548713717443700943e+02,3.649692407751674068e+02,6.420000000000000000e+02,3.780000000000000000e+02
1.469791709942000151e+09,6.546524795145900271e+02,3.644750724582009411e+02,6.420000000000000000e+02,3.790000000000000000e+02
1.469791710498000145e+09,6.544709912973100927e+02,3.651053277328633158e+02,6.390000000000000000e+02,3.790000000000000000e+02
1.469791711049000025e+09,6.544845239022790793e+02,3.649501003155822332e+02,6.400000000000000000e+02,3.790000000000000000e+02
1.469791711618000031e+09,6.548763676033810270e+02,3.649040683430113745e+02,6.400000000000000000e+02,3.790000000000000000e+02
1.469791712171000004e+09,6.548891917088789114e+02,3.649638039397029843e+02,6.410000000000000000e+02,3.790000000000000000e+02
1.469791712779000044e+09,6.546372243165949385e+02,3.648673119644587359e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791713342000008e+09,6.545199551092965748e+02,3.649234223321729473e+02,6.410000000000000000e+02,3.790000000000000000e+02
1.469791713894000053e+09,6.552457593695736477e+02,3.646623880160284443e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791714460000038e+09,6.547211488228747385e+02,3.650361063934544177e+02,6.400000000000000000e+02,3.790000000000000000e+02
1.469791715024000168e+09,6.551002744524637365e+02,3.646958598857797256e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791715584000111e+09,6.548323531415447860e+02,3.647412421169712502e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791716146000147e+09,6.549462064048116190e+02,3.648166175423453410e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791716713999987e+09,6.547249408089762710e+02,3.648107241674844090e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791717269000053e+09,6.547981504586631445e+02,3.648633455076449650e+02,6.410000000000000000e+02,3.790000000000000000e+02
1.469791717824000120e+09,6.546070524610485108e+02,3.650435993863438284e+02,6.400000000000000000e+02,3.790000000000000000e+02
1.469791718391000032e+09,6.550353586300313964e+02,3.646122676821162827e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791718937999964e+09,6.548936587076484557e+02,3.650646311875498213e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791719494000196e+09,6.549045066359893781e+02,3.646830855457694156e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791720062000036e+09,6.550019732249566005e+02,3.648576772697349497e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791720631000042e+09,6.549988975531267670e+02,3.648118943091756137e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791721187999964e+09,6.549128099523856008e+02,3.648808155879326023e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791721755000114e+09,6.546833563564272254e+02,3.649667472422559626e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791722302999973e+09,6.550714708364696435e+02,3.651776815066735367e+02,6.400000000000000000e+02,3.790000000000000000e+02
1.469791722856000185e+09,6.546558399391659577e+02,3.650724762062754394e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791723423000097e+09,6.550424172049957861e+02,3.646092625487901842e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791723973000050e+09,6.548850914171016484e+02,3.646401136623320554e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791724527000189e+09,6.550497883757939235e+02,3.648950997597337391e+02,6.420000000000000000e+02,3.790000000000000000e+02
1.469791725133000135e+09,6.546700602386392802e+02,3.646071199650842232e+02,6.390000000000000000e+02,3.790000000000000000e+02
1.469791725687000036e+09,6.551845823682801893e+02,3.647349329227445196e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791726240000010e+09,6.545998179884563797e+02,3.648383227330488694e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791726799000025e+09,6.548852223301392996e+02,3.648616550766280398e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791727347000122e+09,6.550383999814463323e+02,3.650199014546969352e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791727903000116e+09,6.550261642022090882e+02,3.650336465277197817e+02,6.410000000000000000e+02,3.790000000000000000e+02
1.469791728465000153e+09,6.548047241843669326e+02,3.650969500156151639e+02,6.390000000000000000e+02,3.790000000000000000e+02
1.469791729025000095e+09,6.546614389966885028e+02,3.646028856522353294e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791729578999996e+09,6.549201448315203606e+02,3.648577007573105675e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791730144999981e+09,6.548814214985839044e+02,3.649399403918714029e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791730694000006e+09,6.547468473073063251e+02,3.645338834309785625e+02,6.400000000000000000e+02,3.780000000000000000e+02
1.469791731249000072e+09,6.545459683529034010e+02,3.645520199175372795e+02,6.390000000000000000e+02,3.790000000000000000e+02
1.469791731814000130e+09,6.551191376491445908e+02,3.648010166412444164e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791732364000082e+09,6.542717354158157832e+02,3.642063048287259903e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791732917000055e+09,6.537096067876790357e+02,3.640409747289619418e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791733483000040e+09,6.525211184712294425e+02,3.639387640742258441e+02,6.410000000000000000e+02,3.810000000000000000e+02
1.469791734034000158e+09,6.520081178532213926e+02,3.640137323744572200e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791734592000008e+09,6.525189505517221278e+02,3.641824426106347801e+02,6.400000000000000000e+02,3.780000000000000000e+02
1.469791735157000065e+09,6.524873670563049473e+02,3.640201176318865919e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791735709000111e+09,6.526693556582570181e+02,3.639372792345748167e+02,6.400000000000000000e+02,3.790000000000000000e+02
1.469791736262000084e+09,6.524773984570139191e+02,3.640259498801248128e+02,6.420000000000000000e+02,3.790000000000000000e+02
1.469791736853000164e+09,6.526075329019378160e+02,3.639671323316524649e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791737399000168e+09,6.524919068688946027e+02,3.640851132406681927e+02,6.420000000000000000e+02,3.780000000000000000e+02
1.469791738001000166e+09,6.526681420464044550e+02,3.640514270797031600e+02,6.400000000000000000e+02,3.790000000000000000e+02
1.469791738562999964e+09,6.527404811997355409e+02,3.640956735844969216e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791739113000154e+09,6.527567767820294193e+02,3.640663106150338990e+02,6.400000000000000000e+02,3.790000000000000000e+02
1.469791739667999983e+09,6.526333194385721299e+02,3.641816802890371036e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791740236000061e+09,6.526171821321903508e+02,3.641048362595370804e+02,6.400000000000000000e+02,3.790000000000000000e+02
1.469791740786000013e+09,6.528638628655849061e+02,3.636481687025827227e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791741344000101e+09,6.532131936479660226e+02,3.637748806271630428e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791741907000065e+09,6.538417629093436290e+02,3.642781258426933846e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791742459000111e+09,6.548626390552960856e+02,3.642492054686827601e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791743012000084e+09,6.548428388724614706e+02,3.647807768644252633e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791743578999996e+09,6.552847121849425776e+02,3.646558913646907740e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791744130000114e+09,6.560859115767987078e+02,3.653737694523385926e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791744689000130e+09,6.553989294539230741e+02,3.649527366394759724e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791745261000156e+09,6.557935231541241592e+02,3.651688478634313810e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791745814000130e+09,6.557725503966612450e+02,3.652803308196126295e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791746368000031e+09,6.558058904222694991e+02,3.654023170017582061e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791746940000057e+09,6.557575126783167434e+02,3.652717797120242835e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791747494000196e+09,6.556452225102200373e+02,3.648617306635277373e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791748071000099e+09,6.552223916963262127e+02,3.652881849767489939e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791748637000084e+09,6.546643544183421000e+02,3.652152455570079610e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791749192000151e+09,6.552487881843576361e+02,3.648303791887682337e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791749746999979e+09,6.553118360998712433e+02,3.649476496197534630e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791750360000134e+09,6.546848445891951087e+02,3.652839210051478744e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791750911000013e+09,6.551075692309940450e+02,3.650070334179422389e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791751472000122e+09,6.551886801426641114e+02,3.652878633573582192e+02,6.410000000000000000e+02,3.810000000000000000e+02
1.469791752034000158e+09,6.553673926851466831e+02,3.651665789827779349e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791752588000059e+09,6.552630474947886796e+02,3.650313271827880044e+02,6.420000000000000000e+02,3.790000000000000000e+02
1.469791753144999981e+09,6.551959233542663696e+02,3.653402044643667637e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791753710999966e+09,6.553666748701957658e+02,3.650207200774044622e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791754261000156e+09,6.552929401862681971e+02,3.651577244250078707e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791754815000057e+09,6.548611826166350056e+02,3.649768099279937132e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791755379000187e+09,6.552251013614123849e+02,3.651727092326279376e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791755930999994e+09,6.550038334257693577e+02,3.652827199229990924e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791756483000040e+09,6.547657210772504186e+02,3.650935437203501124e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791757047000170e+09,6.551414708258411110e+02,3.651537944270922935e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791757597000122e+09,6.552437529944685366e+02,3.650842104585015022e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791758154999971e+09,6.548759287489727967e+02,3.650992434967955091e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791758721000195e+09,6.551365717024215201e+02,3.652555895501226928e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791759275000095e+09,6.549750391476608229e+02,3.651001896892749983e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791759831000090e+09,6.549248342418577522e+02,3.651419033289894855e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791760399000168e+09,6.552027442499846757e+02,3.654016369802341728e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791760945000172e+09,6.551448526654424995e+02,3.650355459179297100e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791761502000093e+09,6.555867742538408720e+02,3.651672920392082915e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791762070000172e+09,6.554410984194103094e+02,3.652020955330625611e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791762664000034e+09,6.553920544334412170e+02,3.652476195623426065e+02,6.400000000000000000e+02,3.800000000000000000e+02
1.469791763222000122e+09,6.552542083479462462e+02,3.653035806633926654e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791763789000034e+09,6.553693864075073634e+02,3.651468280030749156e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791764337000132e+09,6.552041988904026084e+02,3.653179969827380660e+02,6.400000000000000000e+02,3.800000000000000000e+02
1.469791764894999981e+09,6.550329097816230615e+02,3.649500759548965902e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791765460000038e+09,6.551771143302598830e+02,3.650762605986996618e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791766008000135e+09,6.553237822031519499e+02,3.650053002042004096e+02,6.390000000000000000e+02,3.770000000000000000e+02
